"","StationCode","SampleID","SampleDate","H_ASCI","D_ASCI","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"237","SMC05956","SMC05956_2012-06-19 00:00:00_1",2012-06-19,0.618546329913978,0.574234835608495,157.5,-0.1442,-0.14075,-144,NA,NA,NA,163.6358,-53,236.2118,0,142,-57.5,-0.30205,2.52815,11.5
"238","SMC06079","SMC06079_2013-06-26 00:00:00_1",2013-06-26,0.767349384370397,0.737383504589128,0,-0.0079,-0.0137,0,-13,1.6918,0,0.61655,0,0.6292,0,0,0,0.00195,-0.02765,0
"239","SMC06216","SMC06216_2014-06-03 00:00:00_1",2014-06-03,0.717265219245593,0.76630075569315,-2,-0.0717,-0.0655,-1,0,23.364,-1,-0.0408,-1,1.10015,5e-05,-1,-1,-0.07145,-0.5336,-1
"240","SMC06298","SMC06298_2012-07-17 00:00:00_1",2012-07-17,0.867751940241526,0.908876708483317,0,-0.008,-0.014,0,NA,NA,NA,-0.0924,0.5,0.10155,0.00035,-0.5,-0.5,1e-04,0.36775,0
"241","SMC06302","SMC06302_2012-06-28 00:00:00_1",2012-06-28,0.309297835955444,0.482524233592528,-28.5,0.0313,0.1174,-17.5,2,166.5097,-61,123.0032,-60.5,100.26785,0,37.5,66.5,0,-7.5182,-24.5
"242","SMC06356","SMC06356_2013-06-10 00:00:00_1",2013-06-10,0.447846096987342,0.573721880821329,49,-0.0217,-0.0933,-150,NA,NA,NA,116.36795,9.5,85.23775,-0.05025,14,31.5,-0.2008,-1.17855,-20.5
"243","SMC06467","SMC06467_2010-06-28 00:00:00_1",2010-06-28,0.783867470102808,0.847688444865705,0,-0.00035,-0.00055,0,NA,NA,NA,0.01385,0,0.0289,0,0,0,0.0034,-0.00035,0
"244","SMC06740","SMC06740_2013-06-10 00:00:00_1",2013-06-10,0.658419118055195,0.527946189853818,-0.5,0.00995,-2.35385,-10,10,-0.8715,-27,32.91265,-49.5,11.0326,0,42.5,56.5,0,-0.1622,-14
"245","SMC06794","SMC06794_2012-07-18 00:00:00_1",2012-07-18,0.766154302748784,0.803494916678266,-3.5,0.02575,0.0109,-0.5,NA,NA,NA,-0.01525,-0.5,-0.15865,1e-04,0,2,7e-04,-0.7938,-2
"246","SMC06863","SMC06863_2011-07-21 00:00:00_1",2011-07-21,0.974294735511265,0.977233142182457,0,-0.00435,-0.0075,0,0,0.64215,0,0.08545,0,0.0081,0,0,0,-0.00025,-0.0087,0
